anio_desde,anio_hasta,seccion,place_or_country,details,source
1775,1783,1775–1799,American Revolutionary War,an armed struggle for secession from the British Empire by the Thirteen Colonies that would subsequently become the United States.,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1776,1777,1775–1799,Cherokee War of 1776,"a series of armed conflicts when the Cherokee fought to prevent the encroachment of American settlers into eastern Tennessee and eastern Kentucky ; under British rule, this land had been preserved as native territory.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1776,1794,1775–1799,Cherokee–American wars,"a continuation of the Second Cherokee War, which included a larger number of native tribes attempting to halt the expansion of settlers into Kentucky and Tennessee",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1785,1795,1775–1799,Northwest Indian War,a series of battles with various native tribes in present-day Ohio . The goal of the campaign was to affirm American sovereignty over the region and to create increased opportunities for settlement.,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1786,1787,1775–1799,Shays' Rebellion,a Western Massachusetts debtor's revolt over a credit squeeze that had financially devastated many farmers.  The federal government was fiscally unable to raise an army to assist the state militia in combating the uprising; the weakness of the national government bolstered the arguments in favor of replacing the Articles of Confederation with an updated governmental framework .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1791,1794,1775–1799,Whiskey Rebellion,"a series of protests against the institution of a federal tax on the distillation of spirits as a revenue source for repaying the nation's war bonds . The revolt was centered upon southwestern Pennsylvania , although violence occurred throughout the Trans-Appalachian region.",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1798,1800,1775–1799,Quasi-War,"an undeclared naval war with the French First Republic over American default on its war debt.  Another contributing factor was the continuation of American trade with Britain, with whom their former French allies were at war. This contest included land actions, such as that in the Dominican Republic city of Puerto Plata , where U.S. Marines captured a French vessel under the guns of the forts. Congress authorized military action through a series of statutes. [ 2 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1799,1800,1775–1799,Fries's Rebellion,a string of protests against the enactment of new real estate taxes to pay for the Quasi-War. Hostilities were concentrated in the communities of the Pennsylvania Dutch .,https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1801,1805,1800s,First Barbary War,"a series of naval battles in the Mediterranean against the Kingdom of Tripoli , a quasi-independent state of the Ottoman Empire . Action was in response to the capture of numerous American ships by the infamous Barbary pirates . The federal government rejected the Tripolitan request for an annual tribute to guarantee safe passage, and an American naval blockade ensued. After the seizure of USS Philadelphia , American forces under William Eaton invaded coastal cities. A peace treaty resulted in the payment of a ransom for the return of captured American soldiers and only temporarily eased hostilities. [ 2 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1806,1806,1800s,Pike Expedition,"On an exploratory expedition ordered by Gen. James Wilkinson , an Army platoon under Captain Zebulon Pike unintentionally entered Spanish Mexico at the headwaters of the Rio Grande . Pike and his troops were made prisoner without resistance at a fort he constructed in present-day Colorado , taken to Mexico, and later released after seizure of his papers. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1806,1810,1800s,Action in the Gulf of Mexico,"American gunboats operated from New Orleans against Spanish and French privateers off the Mississippi Delta , chiefly under Captain John Shaw and Commodore David Porter . [ 2 ]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1810,1810,1810s,West Florida (Spanish territory),"Governor William C. C. Claiborne of Louisiana , on orders of President James Madison , occupied with troops territory in dispute east of the Mississippi River as far as the Pearl River , later the eastern boundary of Louisiana. He was authorized to seize as far east as the Perdido River . [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
1812,1812,1810s,"Amelia Island and other parts of east Florida, then under Spain","Temporary possession was authorized by President James Madison and by Congress, to prevent occupation by any other power; but possession was obtained by General George Mathews in so irregular a manner that his measures were disavowed by the President. [RL30172]",https://en.wikipedia.org/wiki/Timeline_of_United_States_military_operations
