anio_desde,anio_hasta,seccion,lugar_o_pais,detalle,fuente
1775,1783,1775–1799,Guerra de Independencia de los Estados Unidos,una lucha armada por la secesión del Imperio británico por parte de las Trece Colonias que posteriormente se convertirían en los Estados Unidos.,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1776,1777,1775–1799,Guerra Cherokee de 1776,"una serie de conflictos armados en los que los cheroqui lucharon para evitar la invasión de colonos estadounidenses en el este de Tennessee y el este de Kentucky ; bajo el dominio británico, esta tierra se había conservado como territorio nativo.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1776,1794,1775–1799,Guerras Cherokee-Estadounidenses,"una continuación de la Segunda Guerra Cherokee, que incluyó un mayor número de tribus nativas que intentaban detener la expansión de los colonos en Kentucky y Tennessee.",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1785,1795,1775–1799,Guerra de los Indios del Noroeste,una serie de batallas con varias tribus nativas en el actual Ohio . El objetivo de la campaña era afirmar la soberanía estadounidense sobre la región y crear mayores oportunidades de solución.,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1786,1787,1775–1799,Rebelión de Shays,la revuelta de un deudor del oeste de Massachusetts por una restricción crediticia que había devastado financieramente a muchos agricultores. El gobierno federal fue fiscalmente incapaz de formar un ejército para ayudar a la milicia estatal a combatir el levantamiento; la debilidad del gobierno nacional reforzó los argumentos a favor de reemplazar los Artículos de la Confederación con un marco gubernamental actualizado.,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1791,1794,1775–1799,Rebelión del Whiskey,"una serie de protestas contra la institución de un impuesto federal sobre la destilación de bebidas espirituosas como fuente de ingresos para pagar los bonos de guerra de la nación. La revuelta se centró en el suroeste de Pensilvania , aunque la violencia se produjo en toda la región Transapalache .",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1798,1800,1775–1799,Cuasi-Guerra,"una guerra naval no declarada con la Primera República Francesa por el incumplimiento estadounidense de su deuda de guerra. Otro factor que contribuyó fue la continuación del comercio estadounidense con Gran Bretaña, con quien sus antiguos aliados franceses estaban en guerra. Esta contienda incluyó acciones terrestres, como la de la ciudad dominicana de Puerto Plata , donde marines estadounidenses capturaron un buque francés bajo los cañones de los fuertes. El Congreso autorizó la acción militar a través de una serie de estatutos. [ 13 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1799,1800,1775–1799,Rebelión de Fries,una serie de protestas contra la promulgación de nuevos impuestos inmobiliarios para pagar la Cuasi-Guerra. Las hostilidades se concentraron en las comunidades de los holandeses de Pensilvania .,https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1801,1805,1800s,Primera guerra berberisca,"una serie de batallas navales en el Mediterráneo contra el Reino de Trípoli , un estado casi independiente del Imperio otomano . La acción fue en respuesta a la captura de numerosos barcos estadounidenses por parte de los piratas de Berbería . El gobierno federal rechazó la solicitud tripolitana de un tributo anual para garantizar un paso seguro, y se produjo un bloqueo naval estadounidense. Después de la toma del USS Philadelphia , las fuerzas estadounidenses al mando de William Eaton invadieron las ciudades costeras. Un tratado de paz resultó en el pago de un rescate por el regreso de los soldados estadounidenses capturados y sólo alivió temporalmente las hostilidades. [ 13 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
1806,1806,1800s,Expedición Pike,"En una expedición exploratoria ordenada por el general James Wilkinson , un pelotón del ejército al mando del capitán Zebulon Pike ingresó involuntariamente al México español en las cabeceras del Río Grande . Pike y sus tropas fueron hechos prisioneros sin resistencia en un fuerte que construyó en el actual Colorado , llevados a México y luego liberados tras la confiscación de sus documentos. [ 14 ] ​",https://es.wikipedia.org/wiki/Anexo:Intervenciones_militares_de_los_Estados_Unidos
